work_year,experience_level_encoded,company_size_encoded,remote_ratio,job_Data_Engineer,job_Data_Scientist,job_ML_AI_Engineer,job_Manager_Lead,job_Other,salary_in_usd
2025,2,1,0,1,0,0,0,0,278000
2025,2,1,0,0,0,0,0,0,273930
2024,2,1,0,0,0,0,0,0,268900
2024,1,1,0,0,0,0,0,1,75000
2025,2,1,100,0,0,0,0,0,53000
2022,0,2,100,0,1,0,0,0,36940
2025,2,1,0,1,0,0,0,0,174158
2024,2,1,0,0,1,0,0,0,285600
2025,0,1,0,0,0,0,0,1,22736
2023,2,1,0,0,1,0,0,0,195000
2025,2,1,0,0,1,0,0,0,206100
2024,2,1,100,0,0,0,1,0,131000
2025,1,1,0,0,0,0,0,1,45000
2025,2,1,0,0,1,0,0,0,136700
2024,2,1,100,1,0,0,0,0,162563
2024,1,1,0,1,0,0,0,0,259000
2024,1,1,0,0,0,0,0,0,80000
2025,1,1,100,1,0,0,0,0,142000
2025,2,1,100,1,0,0,0,0,129300
2025,2,1,0,0,1,0,0,0,107594
2025,2,1,0,1,0,0,0,0,338270
2025,2,1,0,0,0,0,0,0,175100
2024,1,1,0,0,0,0,0,0,138000
2024,1,1,100,1,0,0,0,0,223900
2025,1,1,0,0,0,0,0,1,175000
2023,1,1,0,1,0,0,0,0,106500
2024,1,1,0,0,0,0,0,1,72000
2024,2,1,100,0,1,0,0,0,177750
2024,2,1,0,0,0,0,1,0,106250
2025,2,1,0,1,0,0,0,0,143750
2024,2,1,0,1,0,0,0,0,174175
2024,2,1,100,1,0,0,0,0,169000
2023,0,2,50,0,1,0,0,0,77791
2025,1,1,0,1,0,0,0,0,123500
2025,2,1,100,0,0,0,0,0,84000
2024,2,1,0,1,0,0,0,0,95500
2025,1,1,0,0,0,0,0,0,184000
2024,2,1,0,0,1,0,0,0,106250
2025,0,1,100,0,0,0,0,0,73722
2024,1,1,0,1,0,0,0,0,245000
2025,2,1,0,0,0,0,1,0,265000
2023,1,1,0,0,1,0,0,0,80000
2025,2,1,0,0,0,0,0,0,265080
2024,0,1,100,0,0,0,0,0,67500
2025,2,1,100,1,0,0,0,0,200000
2024,2,1,100,1,0,0,0,0,127500
2024,2,1,0,0,0,0,1,0,165648
2023,1,1,0,0,1,0,0,0,70000
2024,2,1,0,0,1,0,0,0,215136
2023,2,1,0,1,0,0,0,0,224000
2024,1,1,0,0,0,0,0,0,60400
2023,2,1,100,1,0,0,0,0,280100
2024,1,1,0,0,1,0,0,0,77500
2024,1,1,0,1,0,0,0,0,110000
2025,1,1,0,1,0,0,0,0,140000
2024,1,1,0,1,0,0,0,0,67600
